id,state,bill_number,name,most_recent_action,action_date,current_legislative_status,categories,bill_track_link,legislative_sessions,summary,number_of_sponsors,trifecta_status,sponsors_partisan_affiliations
4024,AK,HB37,"Elections, Voting, Ballots",House State Affairs Hearing (15:00:00 15:00:00 Gruenberg 120),2023-03-28,Introduced,"Absentee/mail-in voting eligibility,Absentee/mail-in ballot deadlines,Absentee/mail-in ballot request processes,Absentee/mail-in ballot administration,Poll observers,Signature matching,Special election procedures,Counting and canvassing procedures,Reporting,Early voting administration,In-person voting and polling places,Provisional ballots,Voter registration,Cybersecurity",https://www.billtrack50.com/billdetail/1523255,2023,"<p>This bill will do the following:</p><p></p><ul><li>Allow individuals to register to vote with an electronic image of their signature and require an acknowledgement statement regarding removal process if the voter is registered in another jurisdiction.&nbsp;</li><li>Allow a person to vote with an absentee in-person, special needs, or questioned ballot on election day even if their registration form is submitted within 30 days of the election if they otherwise comply with AS 14.07.060(h).&nbsp;</li><li>Require two public notices to voters when a precinct boundary or polling location is changed.</li><li>Allow election officials to require any watcher to have a signed written statement from a political party, organized group, or candidate affirming that they are the assigned watcher for that group or individual candidate.&nbsp;&nbsp;</li><li>Prohibit displaying images of other people's ballots to persuade other voters during open hours at a polling location and within 200 feet of the entrance.</li><li>Require unofficial results from the director include candidate ranking selections for the voters’ first choice.&nbsp;</li><li>Require that absentee ballots will include postage-paid return and a new line for signature date.&nbsp;</li><li>Create a new ballot tracking system that will be implemented by the director for the voter to track when their ballot has been sent to them, when it was received back, and when it has been reviewed and counted/rejected. There will also be a new system for a voter to “cure” (fix) and uncounted absentee ballot.&nbsp;</li><li>Allow the director to hold an election by mail if it is an unincorporated community with less than 750 people where they cannot hire election staff or in an area threatened by disaster or if it is not taking place during the same time as a general, primary, or municipal election.&nbsp;</li><li>Add new election worker minimum wage requirements.</li></ul><p></p>",2,Divided,Other
3963,AK,HB1,Repeal Ballot Measure 2 Voting Chgs,House State Affairs Hearing (15:00:00 15:00:00 Gruenberg 120),2023-03-28,Introduced,"Absentee/mail-in ballot request processes,Absentee/mail-in ballot return processes,Ranked-choice voting,Poll observers,Ballot access for candidates,Ballot access for parties,Ballot design,Nonpartisan elections,Primary systems,Counting and canvassing procedures,Election workers/volunteers",https://www.billtrack50.com/billdetail/1512475,2023,"<p>This bill would repeal rank choice voting and provide for additional election procedures to replace it (like runoffs). It also includes the following:</p><p><ul><li>Election supervisor will appoint one nominees from the political part of the sitting governor and one from the political party that received the second highest number of votes for election officials. Likewise, at least one appointee of four for district absentee and questioned ballot counting boards must be from each of the same groups. If the parties do not present possible names for appointment to election official, the election supervisor can appoint any registered voter to fill the roles.&nbsp;</li><li>Candidates not from a political party may appoint watchers for elections. Any watcher can be required to have a signed written statement from a political party or candidate affirming that they are the assigned watcher for that group or individual candidate.&nbsp;&nbsp;</li><li>Individuals will be prohibited from contributing to any candidate after 45 days of a primary loss.&nbsp;&nbsp;</li><li>General election ballots will include party designations for candidates.&nbsp;&nbsp;</li><li>For offices where multiple candidates will be elected, a voter who chooses to vote for less than the number of openings ballot will still be counted.&nbsp;</li><li>Only a voter or their power of attorney can mark primary choice on the absentee ballot application.&nbsp;</li><li>Special runoff and other special elections rules are created for calling them, adding to the absentee ballot mailing, absentee ballot receipt, certification, and more election timelines and processes.&nbsp;</li><li>Primary election ballots will be prepared separate primary election ballots. Party affiliated voters vote in their primary’s ballot, nonpartisan voters may choose.&nbsp;</li><li>Requires political parties to submit bylaws on who can participate and if they are requesting a combined primary election ballot and adds rules for “nomination by party petition” in the event of an incumbent passing or disqualification or other vacancies&nbsp;</li><li>Creates rules for candidates running for no party affiliation related to filings, petition signature process, and eligibility.</li></ul></p>",4,Divided,Republican
35,AK,SB167,Elections; Fraud; Ballots,Senate consent calendar,2023-03-27,Introduced,"Absentee/mail-in ballot return processes,Poll observers,Cure provisions,Counting and canvassing procedures,Voter registration,In-person voter assistance,Physical security,Cybersecurity",https://www.billtrack50.com/billdetail/1427108,2022,"<p>This bill provides for requesting ""permanent fund dividend applicants"" to be registered with proper documentation. The bill requires updates to voter lists. The bill prohibits funding for elections from private sources. The bill allows for poll watchers and lays out guidelines for their appointment. This bill creates an election offense hotline. This bill prohibits those assisting a voter to exert influence on his/her electoral decision-making. This bill provides for the review of ballot counting, and destruction of ballots 22 months after counting is complete. This bill calls for a free online tracking system for absentee ballots, plus postage paid return envelopes. It specifies that only those requesting an absentee ballot should get one. Voters are given the option to opt for absentee ballots for four years in this bill. Absentee ballots can only be counted after the voter certificate is reviewed. Precinct tabulators will be examined before and after elections. This bill states that is is a crime to possess a ballot provided to another voter, or to tamper with a ballot or other voting equipment. It is also a crime for election workers to disclose confidential election data. The bill states that police officers must complete four hours of training about detecting and investigating election offenses. &nbsp; &nbsp;</p>",0,Divided,Other
3965,AK,SB19,Elections; Ballots,Senate State Affairs Hearing (15:30:00 15:30:00 Beltz 105 (tsbldg)),2023-03-07,Introduced,"Absentee/mail-in ballot administration,Cure provisions",https://www.billtrack50.com/billdetail/1512366,2023,"<p>This bill will:&nbsp;</p><p><ul><li>Require postage paid return for absentee ballots.&nbsp;</li><li>Require the district absentee ballot counting board to determine if the signature matches the signature in the voter’s registration records. A ballot where it does not match may not be counted.&nbsp;</li><li>Creates a new ballot tracking system that will be implemented by the director for the voter to track when their ballot has been sent to them, when it was received back, and when it has been reviewed and counted/rejected. There will also be a new system for a voter to “cure” (fix) and uncounted absentee ballot. Repeals section related to previous tracking system.&nbsp;</li><li>Make it a crime of unlawful interference with voting in the second degree if a person “knowingly possess a ballot provided to another voter” unless they meet an exception (like family member, caregiver, official duties of post office worker, nonprofit collecting ballots).</li></ul></p>",2,Divided,Democratic
3964,AK,HB4,Elections:repeal Rank Choice/open Primary,COSPONSOR(S): MCCABE,2023-01-27,Introduced,"Election dates,Absentee/mail-in ballot deadlines,Administrative deadlines,Ranked-choice voting,Poll observers,Ballot access for candidates,Ballot access for parties,Ballot design,Primary systems,Counting and canvassing procedures,Certification,Voter participation deadlines,In-person voter assistance,Absentee/mail-in voter assistance",https://www.billtrack50.com/billdetail/1511141,2023,"<p>This bill would repeal rank choice voting and provide for additional election procedures to replace it (like runoffs). It also includes the following:&nbsp;</p><p><ul><li>Election supervisor will appoint one nominees from the political part of the sitting governor and one from the political party that received the second highest number of votes for election officials. Likewise, at least one appointee of four for district absentee and questioned ballot counting boards must be from each of the same groups. If the parties do not present possible names for appointment to election official, the election supervisor can appoint any registered voter to fill the roles.&nbsp;</li><li>Candidates not from a political party may appoint watchers for elections. Any watcher can be required to have a signed written statement from a political party or candidate affirming that they are the assigned watcher for that group or individual candidate.&nbsp;&nbsp;</li><li>Individuals will be prohibited from contributing to any candidate after 45 days of a primary loss.&nbsp;&nbsp;</li><li>General election ballots will include party designations for candidates.&nbsp;&nbsp;</li><li>For offices where multiple candidates will be elected, a voter who chooses to vote for less than the number of openings ballot will still be counted.&nbsp;</li><li>Only a voter or their power of attorney can mark primary choice on the absentee ballot application.&nbsp;</li><li>Special runoff and other special elections rules are created for calling them, adding to the absentee ballot mailing, absentee ballot receipt, certification, and more election timelines and processes.&nbsp;</li><li>Primary election ballots will be prepared separate primary election ballots. Party affiliated voters vote in their primary’s ballot, nonpartisan voters may choose.&nbsp;</li><li>Requires political parties to submit bylaws on who can participate and if they are requesting a combined primary election ballot and adds rules for “nomination by party petition” in the event of an incumbent passing or disqualification or other vacancies&nbsp;</li><li>Creates rules for candidates running for no party affiliation related to filings, petition signature process, and eligibility.</li></ul></p>",3,Divided,Republican
3966,AK,SB2,Repeal Ballot Measure 2 Voting Chgs,REFERRED TO STATE AFFAIRS,2023-01-18,Introduced,"Ranked-choice voting,Poll observers,Ballot access for candidates,Ballot access for parties,Ballot design,Nonpartisan elections,Primary systems,Special election procedures,Election workers/volunteers,Absentee/mail-in voter assistance",https://www.billtrack50.com/billdetail/1510902,2023,"<p>This bill would repeal rank choice voting and provide for additional election procedures to replace it (like runoffs). It also includes the following:&nbsp;</p><p><ul><li>Election supervisor will appoint one nominees from the political part of the sitting governor and one from the political party that received the second highest number of votes for election officials. Likewise, at least one appointee of four for district absentee and questioned ballot counting boards must be from each of the same groups. If the parties do not present possible names for appointment to election official, the election supervisor can appoint any registered voter to fill the roles.&nbsp;</li><li>Candidates not from a political party may appoint watchers for elections. Any watcher can be required to have a signed written statement from a political party or candidate affirming that they are the assigned watcher for that group or individual candidate.&nbsp;&nbsp;</li><li>Individuals will be prohibited from contributing to any candidate after 45 days of a primary loss.&nbsp;&nbsp;</li><li>General election ballots will include party designations for candidates.&nbsp;&nbsp;</li><li>For offices where multiple candidates will be elected, a voter who chooses to vote for less than the number of openings ballot will still be counted.&nbsp;</li><li>Only a voter or their power of attorney can mark primary choice on the absentee ballot application.&nbsp;</li><li>Special runoff and other special elections rules are created for calling them, adding to the absentee ballot mailing, absentee ballot receipt, certification, and more election timelines and processes.&nbsp;</li><li>Primary election ballots will be prepared separate primary election ballots. Party affiliated voters vote in their primary’s ballot, nonpartisan voters may choose.&nbsp;</li><li>Requires political parties to submit bylaws on who can participate and if they are requesting a combined primary election ballot and adds rules for “nomination by party petition” in the event of an incumbent passing or disqualification or other vacancies.</li><li>Creates rules for candidates running for no party affiliation related to filings, petition signature process, and eligibility.</li></ul></p>",1,Divided,Republican
2990,AK,HB66,"Elections, Voting, Ballots",NOT TAKEN UP - ADJOURNED SINE DIE,2022-05-18,Dead,"Voting equipment,Absentee/mail-in ballot return processes,States of emergency,Cure provisions,In-person voting and polling places,Enforcement against officials,Enforcement against non-officials,Voter registration,Cybersecurity",https://www.billtrack50.com/billdetail/1272787,2022,"<p>This bill requires residents registering to vote 30 days or less before an election to provide an affidavit and documentation establishing residency. It requires qualified voters registering within 30 days of the election to vote an absentee in-person, special needs, or provisional ballot. It lays out guidelines allowing election officials to reject a ballot if qualifications are not met. The bill also allows for transfer of registration from one district to another within 30 days of an election. It requires the voter to vote absentee in-person, special needs, or provisional ballot.</p><p>This bill also specifies provisions for voter list maintenance, including regularly checking for deceased voters or those who committed a felony, and cybersecurity. This bill includes notification requirements for precinct changes. This bill requires poll watchers to provide written proof of appointment from his/her party. This bill includes ballot security provisions including watermarks or seals on ballots, and ensuring a chain of security for all ballots. At the polling place this bill includes language assistance, prohibition of display of photos of ballots (marked or unmarked). For questioned ballots, voters need to include a declaration form. This bill requires an audit after each election, and allows for destruction of ballots within certain parameters. This bill requires an online system for tracking absentee ballots, and requires absentee ballots to include a signature and date, and require that the absentee return materials do not identify a voters party affiliation. This bill designates early voting stations and requires election officials to notify the public.</p><p>This bill allows for in-person absentee voting 15 days before an election and includes administrative provisions for its implementation. Absentee ballots must be requested by a voter. Special needs ballots can be requested up to 15 days before an election. Absentee ballot request specifications are included. Absentee ballot must be postmarked by Election Day or verified by the US Postal Service to have arrived by Election Day. Absentee ballots may be counted after accompanying voter certificates are reviewed. Absentee ballots without proper signature can be rejected. This bill also specifies when elections can be conducted by mail, and the standards for voting and tally machines. This bill enumerates some actions that would be considered illegal interference with an election. An election official who discloses confidential data to a non-election official is committing a crime. This bill establishes minimum compensation guidelines for all election workers. The Elections Division is required to submit a report to the legislature by November 1, 2023 on expanding voting among rural and low-income communities. &nbsp; &nbsp;</p><p><br></p>",5,Divided,Democratic
2798,AK,SB161,Political Party Definition,AWAITING TRANSMITTAL TO GOV,2022-05-18,Passed both chambers,Ballot access for parties,https://www.billtrack50.com/billdetail/1427076,2022,"This bill changes the definition of a political party to “an organized group of voters that has at least 5,000 registered voters in the state[...]”.",2,Divided,Democratic
2949,AK,SB39,Ballot Custody/tampering; Voter Reg; Mail,Senate Finance Hearing (13:00 5/3/2022 Senate Finance 532),2022-05-03,Introduced,"Absentee/mail-in ballot deadlines,Absentee/mail-in ballot administration,Poll observers,States of emergency,Counting and canvassing procedures,Provisional ballots,Enforcement against non-officials,Voter registration",https://www.billtrack50.com/billdetail/1272835,2022,"<p>This bill creates guidelines for registering to vote 30 days or less before an election, including designating the language in which the voter prefers to communicate. A voter registering within 30 days of an election, or who is re-registered, or who transfers their registration, or who claims to be registered but no evidence is found, may only vote absentee in-person, special needs, or questioned ballot. This ballot requires that voter lists and the master register be updated to mitigate fraud, including by sending specific flagged voters mail to confirm an address. Directors are required to develop a process for a voter to cancel his or her registration. This bill also outlines requirements for party watchers.&nbsp;</p><p>This bill requires ballots to contain a security identifier. It requires the director to establish a secure system for handling ballots, including unused and spoiled ballots. This bill creates an election fraud hotline. In-person language assistance is required in this bill. This bill establishes procedures for voting a questioned ballot. This bill provides for an election audit system. This bill provides for online tracking of absentee ballots and postage paid return envelopes. This bill establishes voting stations for voting an absentee ballot, and provides guidelines for how they should be administered. This bill establishes timelines, locations, and circumstances in which a voter may apply for an absentee ballot, including acceptable ID, and a timeline for getting the ballot by mail. This bill establishes timelines for ordering a special needs ballot. This bill instructs voters on the process of completing an absentee ballot and mailing it back. Ballots must be postmarked by the day of the election. This bill requires absentee ballot applications to allow voters to choose to receive absentee ballots for up to four years. Election supervisors may review absentee ballot certificates and signatures no less than 10 days preceding an election. This bill explains circumstances for rejecting an absentee ballot. This bill calls for the state review board to review counted and cured absentee ballots.&nbsp;</p><p>This bill establishes grounds for contesting election results. It establishes grounds for conducting an election by mail. This bill establishes guidelines for a forensic examination of tabulators and other hardware and software. This bill defines relevant terms. This bill enumerates voting crimes and election fraud of varying degrees. This bill requires the director to establish a cybersecurity program. This bill enumerates compensation for election workers. This bill gives the legislative council a number of electoral roles and powers. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;</p>",1,Divided,Republican
2661,AK,HB381,"Offshore wind capacity; development, cost recovery.",COSPONSOR(S): RAUSCHER,2022-04-19,Introduced,"Administrative deadlines,Poll observers,Oversight and accountability,Ballot access for candidates,Counting and canvassing procedures,In-person voting and polling places,Private funding,In-person voter assistance,Absentee/mail-in voter assistance",https://www.billtrack50.com/billdetail/1460777,2022,"<p>This bill allows an election supervisor to appoint a qualified individual if qualified political parties and/or the governor fail to appoint someone by April 15 before an election. The governor may appoint two individuals from the two parties as watchers with the highest number of votes in the last election in which the governor was elected. Members of the commission serve staggered five year terms, with no two members of the same party having terms that expire at the same time. This bill calls for non-group entities to report contributions and contributors. A person may not donate using a fictitious identity. This bill codifies additional donation rules, including in written and broadcast formats. This bill requires a person who filed a nominating petition to become a candidate to file campaign disclosure reports, or face civil penalties. ""Contribution"" is defined in this bill.&nbsp;</p><p>This bill requires party designation to follow the name of a candidate on a ballot. This bill codifies certain elements of ballot counting, including how to handle improperly marked ballots, how to report the certified election results, and how to request a review of the results. This bill establishes that only a voter or an individual designated by the voter in a written power of attorney may mark an absentee ballot. This bill lays out a timeline for absentee ballot return from overseas. This bill explains the composition and nomination of members of the absentee ballot counting board. This bill includes special runoff elections in the guidelines for mailing absentee ballots and counting absentee ballots. The bill also outlines conditions, terms, and candidate conduct for a special election or special runoff election for US Senators and Representatives, or for ballot propositions. This bill calls for no-party candidates to have nominating petitions signed by 1% of voters who voted in the last general election. This bill outlines when an appointment by the governor is used for a vacancy.</p><p>This bill also requires voters to vote in their registered political party's primary election. If a voter is registered as unaffiliated, the voter may vote in any primary election, unless otherwise prohibited to do so. This bill codifies rules for selecting a party's candidate in a primary election, as well as running as a write-in candidate. This bill codifies a process for replacing a candidate who dies or is incapacitated, including party petition. This bill explains requirements of the director for preparation of a primary ballot. This bill specifies that a candidate must file a photograph and statement advocating candidacy within ten days of becoming a candidate. This bill defines certain relevant terms. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</p>",2,Divided,Democratic
2660,AK,HB368,"Virginia Retirement System; investments, environmental, social, and governance investing restricted.",REFERRED TO STATE AFFAIRS,2022-02-22,Introduced,"Counting and canvassing procedures,In-person voting and polling places,In-person voter assistance",https://www.billtrack50.com/billdetail/1460778,2022,"<p>This bill allows watchers to request and watch a hand count after votes are counted. This bill calls for a watcher handbook to be made publicly available at least 180 days before the election. This bill prohibits election funding by outside groups. This bill requires ballots to be printed on security paper. This bill requires use of video recording while ballots are being cast and counted, as well as at early voting locations, and of ballots waiting to be counted. Names of voters receiving assistance will be noted. This bill requires preservation of spoiled ballots and counting of unused ballots. Ballots may not be destroyed at precincts. Recordings and images related to an election may be destroyed 22 months after certification of the election. This bill sets disallows duplication of ballots in most cases. It also lays out guidelines for a forensic audit after the election. This bill requires poll watchers be notified three days before an early voting drop box is removed for counting. This bill lays out guidelines for recount and hand recount requests. This bill also enumerates a required chain of custody for voting machines and precinct tabulators. &nbsp; &nbsp;</p>",1,Divided,Republican
2663,AK,SB209,Elections; Fraud; Ballots,REFERRED TO STATE AFFAIRS,2022-02-22,Introduced,"Absentee/mail-in ballot return processes,Cure provisions,Chain of custody",https://www.billtrack50.com/billdetail/1460723,2022,"This bill requires the district absentee ballot counting board to determine whether signatures are consistent across records and certificates. This bill criminalizes possessing a ballot intended for someone else, unless they are a family member, caregiver, or engaged in official duties.",1,Divided,Democratic
2662,AK,HB390,"Voter Registration, Hand-count Districts",REFERRED TO STATE AFFAIRS,2022-02-22,Introduced,"Absentee/mail-in ballot administration,Counting and canvassing procedures",https://www.billtrack50.com/billdetail/1460750,2022,"<p>This bill lays out provisions for a hand count of ballots. In hand count precincts, officials may begin counting 14 days before an election. In a hand count district, a recount will also be by hand count.</p>",1,Divided,Republican
