"UUID","YEAR","STATE","BILLNUM","BILLSTATUS","AUTHORNAME","AUTHORPARTY","PREFILEDATE","INTRODUCEDDATE","LASTACTIONDATE","NCOAUTHORS","NDEMCOAUTHORS","NREPCOAUTHORS","AUDITS","AVAPPL","AVBDIS","AVBRET","AVELIG","AVEVIP","AVMIOV","AVMISC","AVMOVE","AVNOEX","AVPERM","BACAND","BALDES","BAPART","CANQUL","CANRTR","CANWDW","CANWRI","CNTEST","CRIMES","CYBSEC","DATART","DUALFU","ECONPV","EDHOLI","ELCOST","ELDATE","ELECOL","ELEING","EMEDIS","EOCAMP","EOGENR","EOLOCA","EOSTWD","EXPOLL","FILING","INVOTE","MAILVO","MISCEL","POLPAR","POLWAT","PPACES","PPGENR","PPLOCA","PPPROC","PPVCEN","PPVHRS","PREDEF","PRIDAT","PRIMIS","PRIPUS","PRIRNF","PRITYP","PROVOT","PTDRES","PWCOMP","PWMISC","PWQUAL","PWTRAI","PWYOTH","RECOUN","REGAPP","REGATO","REGCVL","REGDRI","REGDTE","REGEDY","REGELE","REGGEN","REGIDR","REGLST","REGMSC","REGONL","REGPRE","REGSDL","REPRES","RUNOFF","SPELEC","STVOTE","TECHSS","TFSCIC","VACNCY","VCOUNT","VEDINF","VOTAFW","VOTAGE","VOTAST","VOTEME","VOTFVR","VOTMQU","VOTRID","VSSCST","VTRCHA","COAUTHORS","HISTORY","BILLTEXTURL"
"AL2025H6",2025,"AL","H6","Failed","Pettus","R",2024-07-08,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""07/08/2024 - PREFILED."",""07/08/2024 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H6&ciq=urn:user:PA195824351&client_md=fc0cd4c724b94be1b65e4cc83eda3d39&mode=current_text"
"AL2025S7",2025,"AL","S7","Failed","Hatcher","D",2024-08-13,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,"[""08/13/2024 - PREFILED."",""08/15/2024 - To SENATE Committee on JUDICIARY."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To SENATE Committee on JUDICIARY.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S7&ciq=urn:user:PA195824351&client_md=7a03f0558e4aa5203ecd26cbdc9a19f0&mode=current_text"
"AL2025H30",2025,"AL","H30","Failed","Wood","R",2024-08-19,2025-02-03,2025-04-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""08/19/2024 - PREFILED."",""08/19/2024 - To HOUSE Committee on WAYS AND MEANS GENERAL FUND."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on WAYS AND MEANS GENERAL FUND."",""03/05/2025 - From HOUSE Committee on WAYS AND MEANS GENERAL FUND: Reported Favorably."",""03/18/2025 - WAYS AND MEANS EDUCATION FUND Committee substitute offered on HOUSE floor."",""03/18/2025 - Committee Substitute adopted on HOUSE floor."",""03/18/2025 - Passed HOUSE. *****To SENATE."",""03/19/2025 - To SENATE Committee on FINANCE AND TAXATION GENERAL FUND."",""04/03/2025 - From SENATE Committee on FINANCE AND TAXATION GENERAL FUND: Reported favorably.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H30&ciq=urn:user:PA195824351&client_md=83e7574e4dbc03cee887c0514fac3757&mode=current_text"
"AL2025H31",2025,"AL","H31","Failed","Clarke","D",2024-08-29,2025-02-03,2025-02-03,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""08/29/2024 - PREFILED."",""08/29/2024 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H31&ciq=urn:user:PA195824351&client_md=cf05faf80af12f428f859641399514d3&mode=current_text"
"AL2025S48",2025,"AL","S48","Enacted","Singleton","D",NA,2025-02-04,2025-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""02/04/2025 - INTRODUCED."",""02/04/2025 - To SENATE Committee on GOVERNMENTAL AFFAIRS."",""02/12/2025 - From SENATE Committee on GOVERNMENTAL AFFAIRS: Reported favorably."",""02/13/2025 - GOVERNMENTAL AFFAIRS Committee amendment offered on SENATE floor."",""02/13/2025 - GOVERNMENTAL AFFAIRS Committee amendment adopted on SENATE floor."",""02/13/2025 - Passed SENATE. *****To HOUSE."",""02/13/2025 - To HOUSE Committee on WAYS AND MEANS GENERAL FUND."",""02/20/2025 - From HOUSE Committee on WAYS AND MEANS GENERAL FUND: Reported Favorably."",""02/25/2025 - Passed HOUSE."",""02/25/2025 - Eligible for GOVERNOR'S desk."",""02/25/2025 - *****To GOVERNOR."",""03/04/2025 - Signed by GOVERNOR."",""03/04/2025 - Act No. 2025-22""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000S48&ciq=urn:user:PA195824351&client_md=6cffbbc610ad13075e3b7221ea54e77c&mode=current_text"
"AL2025H59",2025,"AL","H59","Failed","Jackson","D",2024-11-07,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""11/07/2024 - PREFILED."",""11/07/2024 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H59&ciq=urn:user:PA195824351&client_md=c04d68964e6b1287791facbd6a399f40&mode=current_text"
"AL2025H60",2025,"AL","H60","Failed","Clarke","D",2024-11-07,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,"[""11/07/2024 - PREFILED."",""11/07/2024 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H60&ciq=urn:user:PA195824351&client_md=1af2495ea0b51b8b6cf99cee807fcb02&mode=current_text"
"AL2025H64",2025,"AL","H64","Failed","Tillman","D",2024-11-07,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""11/07/2024 - PREFILED."",""11/07/2024 - To HOUSE Committee on STATE GOVERNMENT."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on STATE GOVERNMENT.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H64&ciq=urn:user:PA195824351&client_md=98813b92c27fb619cd8376067005e26b&mode=current_text"
"AL2025H71",2025,"AL","H71","Failed","Clarke","D",2024-12-04,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""12/04/2024 - PREFILED."",""12/04/2024 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS."",""02/03/2025 - INTRODUCED."",""02/03/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H71&ciq=urn:user:PA195824351&client_md=5e6025410f20380b2852422e58d05703&mode=current_text"
"AL2025H77",2025,"AL","H77","Failed","Clarke","D",2025-01-06,2025-02-03,2025-02-04,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"[""01/06/2025 - PREFILED."",""02/03/2025 - INTRODUCED."",""02/04/2025 - To HOUSE Committee on CONSTITUTION, CAMPAIGNS AND ELECTIONS.""]","http://custom.statenet.com/public/resources.cgi?id=ID:bill:AL2025000H77&ciq=urn:user:PA195824351&client_md=7423dec5618b0f1e6a8810189f0d736f&mode=current_text"
